sequence_index,poi_id,poi_name,previous_poi_id,travel_min,arrival_min,arrival_clock,waiting_min,visit_start_min,visit_start_clock,visit_end_min,visit_end_clock,visit_duration_min,admission_cost_rm,cumulative_cost_rm
0,1,Dataran Merdeka,,0.000000,540.000000,09:00,0.000000,540.000000,09:00,630.000000,10:30,90.000000,0.000000,0.000000
1,2,Bangunan Sultan Abdul Samad,1,1.411320,631.411320,10:31,0.000000,631.411320,10:31,676.411320,11:16,45.000000,0.000000,0.000000
2,5,Kuala Lumpur City Gallery,2,2.311657,678.722977,11:19,0.000000,678.722977,11:19,738.722977,12:19,60.000000,10.000000,10.000000
3,3,Muzium Tekstil Negara,5,1.142089,739.865066,12:20,0.000000,739.865066,12:20,799.865066,13:20,60.000000,0.000000,10.000000
4,4,Muzium Negara,3,14.301536,814.166602,13:34,0.000000,814.166602,13:34,904.166602,15:04,90.000000,5.000000,15.000000
5,13,Menara Berkembar Petronas,4,42.166530,946.333132,15:46,0.000000,946.333132,15:46,1006.333132,16:46,60.000000,127.000000,142.000000
