id,name,name_en,name_ms,amenity,man_made,shop,tourism,opening_hours,beds,rooms,addr_full,addr_housenumber,addr_street,addr_city,source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,adm4_pcode,adm4_name,name_latin,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5787646853,Goldsmith,Giant Man with Hammer,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Giant Man with Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11014075708,Gorilla Armchair,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Gorilla Armchair,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9646411465,Guan Yin,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Guan Yin,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7490098555,Hairdresser,Hairdresser,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Hairdresser,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13306048648,Hope,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Hope,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7425652902,Jalan Alor Street Art,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Jalan Alor Street Art,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12470732201,Jalan Rembia Street Art,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Jalan Rembia Street Art,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7333889397,Keris,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Keris,,,,,,,,,,,,,,,,,,,,,,,,,,
way/919653932,KOMPLEKS SUKAN NEGARA,KOMPLEKS SUKAN NEGARA,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,KOMPLEKS SUKAN NEGARAnode/1545348437,Restoran Gem,,,restaurant,,,,,,,,,Jalan Gasing,Petaling Jaya,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Restoran Gem
node/7490098551,Man Playing Instrument,Man Playing Instrument,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Man Playing Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5224380440,Menuju Keamanan,Towards Peace,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Towards Peace,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4863370048,Metal Dancer,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Metal Dancer,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11200051657,"Miza, Ika and Iwa","Miza, Ika and Iwa",,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,"Miza, Ika and Iwa",,,,,,,,,,,,,,,,,,,,,,,,,,
node/11014076105,Mural,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Mural,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11014076005,Murals along this wall,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Murals along this wall,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11414448461,Oculus,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Oculus,,,,,,,,,,,,,,,,,,,,,,,,,,
node/6197947485,Panas-Panas,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Panas-Panas,,,,,,,,,,,,,,,,,,,,,,,,,,
way/1058167192,PANTAI SENTRAL PARK,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,PANTAI SENTRAL PARK,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5224380568,Pertumbuhan,Growth,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7490098552,Playing Children,Playing Children,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Playing Children,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5224380439,Progress,,Kemajuan,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Progress,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10839708071,Rabbit,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11014075706,Rainforest Mural,Rainforest Mural,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Rainforest Mural,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7490098554,Seductive Woman,Seductive Woman,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Seductive Woman,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13161065587,Segerak,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Segerak,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10836417583,Stair on the tree,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Stair on the tree,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4370114190,Street Art,Street Art,,,,,artwork,24-Jul,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Street Art,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5831817389,Street Art - Birds,Street Art - Birds,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Street Art - Birds,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7490098558,Streetlife,Streetlife,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Streetlife,,,,,,,,,,,,,,,,,,,,,,,,,,
way/1052443849,TAMAN TASIK TITIWANGSA,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,TAMAN TASIK TITIWANGSA,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10186252232,The Light Forest,The Light Forest,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,The Light Forest,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10186082254,The Light Forest,The Light Forest,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,The Light Forest,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13766387396,Virtus,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Virtus,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13691653535,Woman in Yellow,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Woman in Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,
way/537381109,Jam Detik,Countdown Clock,Jam Detik,fountain,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Countdown Clock,,,,,,,,,,,,,,,,,,,,,,,,,,
way/484263462,Queen Victoria Fountain,,,fountain,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Queen Victoria Fountain,,,,,,,,,,,,,,,,,,,,,,,,,,
way/572720082,Glutton Street Market,Glutton Street Market,,marketplace,,,attraction,Mo-Su 16:30-22:00,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Glutton Street Market,,,,,,,,,,,,,,,,,,,,,,,,,,
way/471992046,Jalan Alor,Jalan Alor - Night Market,Jalan Alor,marketplace,,,attraction,Mo-Su 16:00-02:00,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Jalan Alor - Night Market,,,,,,,,,,,,,,,,,,,,,,,,,,
way/446256442,Jalan Petaling,Petaling Street,Jalan Petaling,marketplace,,,attraction,11:00-24:00,,,,,,Kuala Lumpur,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Petaling Street,,,,,,,,,,,,,,,,,,,,,,,,,,
way/480717734,Masjid Jamek Kuala Lumpur,Jamek Mosque,Masjid Jamek Kuala Lumpur,place_of_worship,,,attraction,,,,,,Jalan Tun Perak,Kuala Lumpur,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Jamek Mosque,,,,,,,,,,,,,,,,,,,,,,,,,,
way/24577285,Sin Sze Si Ya Temple,Sin Sze Si Ya Temple,,place_of_worship,,,attraction,,,,,14A,Lebuh Pudu,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Sin Sze Si Ya Temple,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13707104520,功德园,,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Gong De Yuan ,,,,,,,,,,,,,,,,,,,,,,,,,,
way/480708779,Bangunan Sultan Abdul Samad,,,,,,attraction,,,,,,,Kuala Lumpur,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Bangunan Sultan Abdul Samad,,,,,,,,,,,,,,,,,,,,,,,,,,
way/480033934,Bangunan Zhongshan,Zhongshan Building,,,,,attraction,,,,,82,Jalan Rotan,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Zhongshan Building,,,,,,,,,,,,,,,,,,,,,,,,,,
way/1427557823,Blue Corridor,Blue Corridor,Koridor Biru,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Blue Corridor,,,,,,,,,,,,,,,,,,,,,,,,,,
way/23069513,Dataran Merdeka,,Dataran Merdeka,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Dataran Merdeka,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13394723207,Godzilla x Kong Mural,,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Godzilla x Kong Mural,,,,,,,,,,,,,,,,,,,,,,,,,,
way/23768608,Jalan Hang Kasturi,,Jalan Hang Kasturi,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Jalan Hang Kasturi,,,,,,,,,,,,,,,,,,,,,,,,,,
way/24520993,KL City Walk,KL City Walk,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,KL City Walk,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11832151817,Kuala Lumpur Tower,Kuala Lumpur Tower,Menara Kuala Lumpur,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Kuala Lumpur Tower,,,,,,,,,,,,,,,,,,,,,,,,,,
way/801320516,Kwai Chai Hong,Kwai Chai Hong,,,,,attraction,Mo-Su 09:00-24:00,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Kwai Chai Hong,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4327707896,Little India,,,,,,attraction,,,,,,Jalan Tun Sambanthan,Kuala Lumpur,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Little India,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10961369805,"Lot 1-39 & 1-40, Ground Floor, Roller Light (Indoor Roller Skating Rink)",,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,"Lot 1-39 & 1-40, Ground Floor, Roller Light (Indoor Roller Skating Rink)",,,,,,,,,,,,,,,,,,,,,,,,,,
way/391561809,Memorial Tun P. Ramlee,,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Memorial Tun P. Ramlee,,,,,,,,,,,,,,,,,,,,,,,,,,
way/279944536,Menara Berkembar Petronas,Petronas Towers,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Petronas Towers,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5839389988,Menara Kuala Lumpur,Kuala Lumpur Tower,Menara Kuala Lumpur,,tower,,attraction,Mo-Su 09:00-22:00,,,,2,Jalan Puncak,Kuala Lumpur,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Kuala Lumpur Tower,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7192886087,Mini Stonehenge,Mini Stone Henge,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Mini Stone Henge,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11694943469,MiniNature Malaysia,,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,MiniNature Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11832151818,National Mosque of Malaysia,,,,,,attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,National Mosque of Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,
